Respondent,Gender,EdLevel,Age,Country,WorkLoc,CompTotal,ConvertedComp,WorkWeekHrs,CodeRevHrs
23008,Man,Associate degree,32.0,Canada,Office,45000.0,1000000.0,40.0,20.0
23013,Man,Associate degree,39.0,United States,Home,120000.0,120000.0,40.0,3.0
23015,Man,Some college/university study without earning a degree,31.0,United States,Home,90000.0,90000.0,10.0,2.0
23016,Woman,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0,India,Office,1190000.0,16651.0,8.0,1.0
23026,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,Spain,Other,32000.0,439968.0,40.0,6.0
23027,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",31.0,United States,Home,70000.0,70000.0,50.0,3.0
23033,Man,Some college/university study without earning a degree,29.0,Swaziland,Office,2000.0,1800.0,45.0,9.0
23035,Man,Some college/university study without earning a degree,30.0,Brazil,Home,7500.0,24588.0,40.0,2.0
23036,Woman,"Bachelor’s degree (BA, BS, B.Eng., etc.)",32.0,United States,Office,90000.0,90000.0,40.0,6.0
23044,Man,Some college/university study without earning a degree,23.0,Switzerland,Office,49000.0,590724.0,32.0,2.0
23045,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,United States,Office,113300.0,113300.0,40.0,2.0
23047,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",35.0,Sweden,Home,60000.0,79536.0,40.0,10.0
23049,Man,Associate degree,30.0,Germany,Home,3800.0,52248.0,40.0,4.0
23053,Man,"Professional degree (JD, MD, etc.)",28.0,Belgium,Home,2950.0,40560.0,40.0,5.0
23054,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",39.0,Australia,Office,120450.0,87362.0,40.0,7.0
23057,Man,Some college/university study without earning a degree,32.0,Finland,Office,5500.0,75624.0,37.5,1.0
23058,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",37.0,Brazil,Office,9200.0,30156.0,44.0,5.0
23059,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0,Kenya,Office,170000.0,20304.0,60.0,5.0
23061,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0,Spain,Home,42000.0,48121.0,40.0,3.0
23063,Man,Some college/university study without earning a degree,34.0,Austria,Office,3100.0,42624.0,30.0,4.0
23065,Man,Some college/university study without earning a degree,31.0,United States,Office,115000.0,115000.0,40.0,2.0
23067,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",39.0,United States,Office,65000.0,65000.0,40.0,3.0
23068,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0,United States,Home,110000.0,110000.0,35.0,2.5
23069,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",39.0,Germany,Office,78000.0,89368.0,40.0,2.0
23070,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,Denmark,Home,576000.0,88390.0,40.0,4.0
23072,Man,Some college/university study without earning a degree,27.0,Spain,Home,37000.0,42393.0,40.0,2.0
23073,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29.0,Greece,Office,18000.0,247476.0,40.0,3.0
23076,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,United States,Home,87000.0,87000.0,40.0,2.0
23078,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",24.0,France,Office,26400.0,30248.0,28.0,1.0
23082,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",28.0,Spain,Home,35000.0,40101.0,40.0,5.0
23085,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,Brazil,Office,7000.0,22944.0,40.0,4.0
23099,Woman,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",31.0,United States,Office,147700.0,147700.0,40.0,1.0
23101,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0,Indonesia,Office,9000000.0,7740.0,40.0,4.0
23107,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",29.0,United States,Home,104000.0,104000.0,40.0,4.0
23116,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",26.0,Brazil,Home,210000.0,57370.0,40.0,2.0
23117,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",28.0,India,Office,42000.0,7056.0,40.0,3.0
23120,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",24.0,Pakistan,Office,54080.0,4692.0,8.0,4.0
23134,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",32.0,United States,Other,106000.0,106000.0,43.0,8.0
23136,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,Netherlands,Office,3000.0,41244.0,40.0,5.0
23159,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35.0,Austria,Office,70000.0,80202.0,40.0,4.0
23160,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United States,Home,135000.0,135000.0,50.0,5.0
23164,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",38.0,United Kingdom,Other,66000.0,86359.0,35.0,4.0
23168,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35.0,Czech Republic,Office,110000.0,58800.0,40.0,4.0
23173,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,Australia,Office,140000.0,101542.0,40.0,2.0
23178,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",40.0,Slovenia,Office,65000.0,74474.0,45.0,1.0
23181,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United States,Office,95000.0,95000.0,40.0,2.0
23188,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0,Portugal,Office,30000.0,34372.0,40.0,2.0
23191,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,United States,Home,250000.0,250000.0,40.0,8.0
23198,Man,Some college/university study without earning a degree,20.0,Brazil,Office,1200.0,3936.0,20.0,3.0
23199,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",42.0,United States,Home,150000.0,150000.0,45.0,3.0
23200,Man,Some college/university study without earning a degree,23.0,Russian Federation,Home,115000.0,21084.0,40.0,2.0
23201,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,Turkey,Other,5000.0,11520.0,40.0,3.0
23204,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",36.0,Australia,Office,95000.0,68903.0,40.0,2.0
23211,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",39.0,United States,Home,190000.0,2000000.0,40.0,8.0
23213,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United States,Office,100000.0,100000.0,30.0,5.0
23216,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",28.0,Canada,Home,72000.0,1000000.0,40.0,8.0
23217,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United Kingdom,Other,38000.0,49722.0,40.0,6.0
23226,Man,"Other doctoral degree (Ph.D, Ed.D., etc.)",38.0,Russian Federation,Office,150000.0,27504.0,40.0,3.0
23227,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0,India,Office,1500000.0,20989.0,45.0,5.0
23233,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0,Egypt,Office,8000.0,5436.0,40.0,2.0
23248,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",28.0,Germany,Office,3200.0,43992.0,35.0,1.0
23249,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,Israel,Other,19000.0,62676.0,45.0,5.0
23250,Man,"Other doctoral degree (Ph.D, Ed.D., etc.)",39.0,United States,Home,250000.0,250000.0,40.0,1.0
23253,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",31.0,Brazil,Office,10000.0,32784.0,40.0,6.0
23254,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",21.0,United Kingdom,Office,45000.0,58881.0,40.0,5.0
23257,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",29.0,Turkey,Office,8000.0,18432.0,40.0,1.0
23261,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,United States,Home,127000.0,127000.0,40.0,2.0
23262,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,Slovenia,Office,1600.0,21996.0,40.0,2.0
