,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
104,Jordan,6406079,3462502.0,62.79,33.94,2943577.0,28.85,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",6.0
105,Kazakhstan,11995502,6629678.0,63.89,35.31,5365824.0,28.58,"QazVac, Sinopharm/HayatVax, Gamaleya - Sputnik V",3.0
106,Kenya,2752266,1949340.0,5.12,3.63,802926.0,1.49,SII - Covishield,1.0
107,Kiribati,24229,19589.0,20.28,16.4,4640.0,3.89,AstraZeneca - Vaxzevria,1.0
108,Kosovo,808078,538766.0,45.0,30.0,269312.0,15.0,AstraZeneca - AZD1222,1.0
110,Kyrgyzstan,1141442,685629.0,17.5,10.51,453130.0,6.95,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",2.0
111,Lao People's Democratic Republic,3044669,2060418.0,41.85,28.32,1644691.0,22.61,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
112,Latvia,1507752,859074.0,79.04,45.03,761905.0,39.94,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
113,Lebanon,2413893,1341443.0,35.37,19.65,1071101.0,15.69,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",4.0
114,Lesotho,201795,40911.0,9.42,1.91,32181.0,1.5,SII - Covishield,1.0
115,Liberia,113680,104545.0,2.25,2.07,27392.0,0.54,SII - Covishield,1.0
